,cycle,id,transid,crpfilterid,recipcode,pacshort,crprecipname,expcode,amount,date,city,state,zip,cmtelid_ef,candid,type,descrip,pg,elecother,enttype,source
4165,2016,270130,BFD93C851ED964BA5AC6,N00027229,RI,,,A40,693,01/11/2016,,CA,900455800,,,,Airfare,G2014,,ORG,@auto
4166,2016,270356,SB17I2270,N00031226,RI,,,A40,461,02/26/2016,ATLANTA,GA,,,,,TRAVEL,,,ORG,@auto
4167,2016,270357,SB17I2271,N00031226,RI,,,A40,461,02/26/2016,ATLANTA,GA,,,,,TRAVEL,,,ORG,@auto
4168,2016,270359,SB17I2284,N00031226,RI,,,A40,196,02/26/2016,ATLANTA,GA,,,,,TRAVEL,,,ORG,@auto
4169,2016,270365,SB17I2290,N00031226,RI,,,A40,71,02/18/2016,MISHAWAKA,IN,,,,,TRAVEL,,,ORG,@auto
4170,2016,270442,SB17I2333,N00031226,RI,,Uber,A40,6,03/24/2016,SF,CA,,,,,TRAVEL,,,ORG,@auto
4171,2016,270512,VQZ1WA69NG0,N00013817,DI,,,U10,1,01/06/2016,Portland,ME,,,,,Postage,P2016,,ORG,@auto
4178,2016,271465,B5C96A57A3F0E4141857,N00037031,RI,,,W10,1045,03/01/2016,,IL,616113661,,,,Salary,,,IND,@auto
4179,2016,271471,BC04EACAC2C2D481A847,N00037031,RI,,,U10,98,03/02/2016,Peoria,IL,616143483,,,,Postage,,,ORG,@auto
4186,2016,271869,D585528,N00004029,DI,,,A40,210,02/18/2016,Dallas,TX,752619612,,,,Travel,P2016,,ORG,@auto
4188,2016,271924,D585579,N00004029,DI,,,A40,34,02/05/2016,,CA,,,,,Travel,P2016,,ORG,@auto
4189,2016,271951,D586882,N00004029,DI,,,A40,14,03/21/2016,,CA,,,,,Travel,P2016,,ORG,@auto
4191,2016,272011,D585535,N00004029,DI,,,A40,40,01/19/2016,Detroit,MI,482023804,,,,Travel,P2016,,ORG,@auto
4194,2016,272121,D587496,N00029891,DI,,,U30,200,03/14/2016,Fairfax,VA,,,,,Event/Security,P2016,,IND,@new
4195,2016,272129,D587676,N00029891,DI,,,U10,490,02/03/2016,Alexandria,VA,,,,,Postage/Stamps,P2016,,ORG,@new
4196,2016,272144,D587693,N00029891,DI,,,F30,2769,01/06/2016,Vienna,VA,,,,,Event/Catering,P2016,,ORG,@new
4197,2016,272201,D585490,N00029891,DI,,,N10,10,02/19/2016,Fairfax,VA,220321709,,,,Refund,P2016,,IND,@new
4198,2016,272229,VPEGNA1DRW1,N00033240,DO,,,U10,703,02/25/2016,Cincinnati,OH,452411504,,,,Printing,P2016,,ORG,@new
4203,2016,272709,VNV469SGDA2,N00035927,DI,,,A20,2550,01/01/2016,Washington,DC,200055006,,,,Software,P2016,,ORG,@new
4204,2016,272813,SB17I1687,N00031681,RI,,,U10,207,01/13/2016,WHEELING,WV,,,,,POSTAGE,,,ORG,@auto
4206,2016,273000,SB17I144,N00037442,RO,,,A70,111,01/05/2016,,IL,,,,,TELEPHONE,P2016,,ORG,@new
4210,2016,273221,B-S-276,C00541011,RP,,,A40,302,03/15/2016,Pittsburgh,PA,,,,,Lodging,N2016,,ORG,@auto
4211,2016,273262,B-S-316,C00541011,RP,,,W10,870,03/14/2016,Washington,DC,,,,,Payroll,N2016,,IND,@auto
4214,2016,273359,VNV0F9SMV13,N00028091,DC,,,A40,11,01/14/2016,Rochester,NH,038688524,,,,Travel,P2016,,ORG,@auto
4215,2016,273363,VNV0F9SQXF1,N00028091,DC,,,A40,23,03/14/2016,Rochester,NH,038688524,,,,Travel,P2016,,ORG,@auto
4218,2016,273528,0067071,N00004133,RI,,,W10,1122,01/29/2016,,MI,490859612,,,,Payroll,P2016,,ORG,@auto
4222,2016,273606,0067446,N00004133,RI,,,W10,2471,03/09/2016,,MI,490851549,,,,Payroll,P2016,,ORG,@auto
4226,2016,273678,SB17I5270,N00031227,RI,,,W10,398,03/01/2016,EVANSVILLE,IN,,,,,PAYROLL,,,IND,@auto
4227,2016,273682,SB17I5219,N00031227,RI,,,W10,546,02/01/2016,,IN,,,,,PAYROLL,,,IND,@auto
4231,2016,274102,VQZGNA73CF6,C00586982,DP,,,W10,2500,03/29/2016,Fullerton,CA,928311823,,,,Salary,,,IND,@auto
4236,2016,274481,SB21B-114-100000,C00586842,DP,,,A40,638,03/22/2016,Burlingame,CA,,,,,Travel,,,ORG,@auto
4238,2016,274666,VN7PT9VP875,N00035410,DC,,,U10,196,03/22/2016,,IA,,,,,postage,P2016,,ORG,@new
4239,2016,274682,17-01-00024-00024,N00038619,DO,,,A20,1800,12/11/2015,Washington,DC,,,,,Software,,,ORG,@new
4240,2016,274860,VPEDEA1CB21,N00006701,DI,,,A40,33,03/03/2016,,CA,925537531,,,,Travel,P2016,,ORG,@auto
4242,2016,274957,VPEDEA1D6F0,N00006701,DI,,,R20,176,03/03/2016,Sacramento,CA,958115221,,,,Contribution,,,PTY,@new
4245,2016,275129,SB17I7104,N00030967,RI,,,A40,777,03/03/2016,WAUSAU,WI,544030538,,H0WI07051,,TRAVEL,,,CAN,@auto
4247,2016,275235,SB17I7184,N00030967,RI,,,A40,922,01/15/2016,ATLANTA,GA,303547561,,,,TRAVEL,,,ORG,@auto
4251,2016,275360,SB17I7084,N00030967,RI,,,U10,6317,02/17/2016,WAUSAU,WI,,,,,PRINTING,,,ORG,@new
4254,2016,275638,VQZ3JA6NE67,N00034277,DI,,Hotels.Com,A40,259,02/08/2016,Dallas,TX,752312228,,,,Lodging,P2016,,ORG,@auto
4263,2016,276399,B32BF52CD27224AFF9FF,N00035628,RI,,,A40,8,03/07/2016,,NV,891118037,,,,Travel,,,ORG,@auto
4264,2016,276401,B4131513F901546A3AC7,N00035628,RI,,,A40,32,03/08/2016,Mesquite,NV,890275204,,,,Travel,,,ORG,@auto
4266,2016,276424,BACCE27A3E6444F988F0,N00035628,RI,,,A30,67,03/25/2016,,NV,891455810,,,,Meals,,,ORG,@new
4267,2016,276427,B8EDC6F266CBB4123A8B,N00035628,RI,,,A40,27,03/28/2016,,NV,891176645,,,,Travel,,,ORG,@auto
4273,2016,276721,VQZB1A7DBS2,N00037283,DO,,,W10,2184,02/29/2016,,MI,496862649,,,,Salary,P2016,,IND,@auto
4276,2016,277356,VNH6SA12QZ8,N00005293,DI,,,W10,334,03/16/2016,Papillion,NE,680463086,,,,Salary,P2016,,IND,@auto
4278,2016,277423,B6F13B3D9C6B14A4D999,N00036928,RI,,,A70,2500,01/20/2016,,NY,103062563,,,,Rent,P2016,,ORG,@auto
4285,2016,278002,SB17I847,N00026166,RI,,Spokeo,M00,8,02/02/2016,PASADENA,CA,,,,,ADVERTISING,,,ORG,@new
4286,2016,278018,SB17I864,N00026166,RI,,,M30,25,02/09/2016,,CA,,,,,MEDIA,,,ORG,@new
4289,2016,278205,EXPB60463,N00007017,RI,,,R20,5000,03/30/2016,,CA,,,,,Contribution,P2016,,COM,@new
4294,2016,278364,SB1711183,N00001619,DI,,,A40,42,02/01/2016,Aberdeen,MD,,C00333740,,,Fuel,P2016,,ORG,@new
4297,2016,278431,B-E-14559,N00008264,RI,,,A60,1986,11/02/2015,Willows,CA,959889788,,,,Bookkeeping,P2016,,ORG,@auto
4311,2016,279328,D640432,N00029139,DI,,,W10,1129,03/31/2016,Chicago,IL,,,,,Payroll,G2016,,ORG,@auto
4313,2016,279380,D503498,N00038857,DO,,,A40,72,03/08/2016,Seattle,WA,,,,,Parking,P2016,,ORG,@new
4329,2016,280202,SB23I32079,N00037006,RL,,Spinx,A40,28,03/08/2016,GREENVILLE,SC,,,,,TRAVEL,P2016,,ORG,@auto
4330,2016,280236,SB23I31802,N00037006,RL,,Uber,A40,31,03/04/2016,,CA,,,,,TRAVEL,P2016,,ORG,@auto
4331,2016,280410,SB23I32005,N00037006,RL,,,A40,25,03/07/2016,CHICAGO,IL,,,,,AIRFARE,P2016,,ORG,@auto
4334,2016,280746,SB23I32325,N00037006,RL,,,A40,118,03/24/2016,PHOENIX,AZ,,,,,LODGING,P2016,,ORG,@auto
4335,2016,280761,SB23I32393,N00037006,RL,,,A40,118,03/24/2016,PHOENIX,AZ,,,,,LODGING,P2016,,ORG,@auto
4336,2016,280763,SB23I32395,N00037006,RL,,,A40,-118,03/24/2016,PHOENIX,AZ,,,,,CREDIT-LODGING,P2016,,ORG,@new
4337,2016,280797,SB23I32340,N00037006,RL,,,A40,119,03/24/2016,PHOENIX,AZ,,,,,LODGING,P2016,,ORG,@auto
4338,2016,280805,SB23I32348,N00037006,RL,,,A40,194,03/24/2016,PHOENIX,AZ,,,,,LODGING,P2016,,ORG,@auto
4339,2016,280915,SB23I32622,N00037006,RL,,,A40,192,03/24/2016,MCLEAN,VA,,,,,LODGING,P2016,,ORG,@auto
4340,2016,280919,SB23I32626,N00037006,RL,,,A40,192,03/24/2016,MCLEAN,VA,,,,,LODGING,P2016,,ORG,@auto
4341,2016,281046,SB23I32799,N00037006,RL,,,A40,150,03/24/2016,MCLEAN,VA,,,,,LODGING,P2016,,ORG,@auto
4342,2016,281048,SB23I32801,N00037006,RL,,,A40,166,03/24/2016,MCLEAN,VA,,,,,LODGING,P2016,,ORG,@auto
4343,2016,281073,SB23I32566,N00037006,RL,,,A40,114,03/24/2016,MCLEAN,VA,,,,,LODGING,P2016,,ORG,@auto
4344,2016,281103,SB23I32775,N00037006,RL,,,A40,554,03/24/2016,MCLEAN,VA,,,,,LODGING,P2016,,ORG,@auto
4346,2016,281112,SB23I32785,N00037006,RL,,,A40,879,03/24/2016,MCLEAN,VA,,,,,LODGING,P2016,,ORG,@auto
4347,2016,281307,SB23I33246,N00037006,RL,,,A40,489,03/24/2016,DALLAS,TX,,,,,AIRFARE,P2016,,ORG,@auto
4348,2016,281317,SB23I33330,N00037006,RL,,,A40,68,03/24/2016,DALLAS,TX,,,,,AIRFARE,P2016,,ORG,@auto
4349,2016,281321,SB23I33334,N00037006,RL,,,A40,-228,03/24/2016,DALLAS,TX,,,,,CREDIT-AIRFARE,P2016,,ORG,@new
4350,2016,281347,SB23I33491,N00037006,RL,,,A40,572,03/24/2016,DALLAS,TX,,,,,AIRFARE,P2016,,ORG,@auto
4351,2016,281599,SB23I33189,N00037006,RL,,,A40,6,03/24/2016,BELLEVUE,WA,,,,,TRAVEL,P2016,,ORG,@auto
4352,2016,281624,SB23I33275,N00037006,RL,,,A40,6,03/24/2016,BELLEVUE,WA,,,,,TRAVEL,P2016,,ORG,@auto
4353,2016,281627,SB23I33278,N00037006,RL,,,A40,10,03/24/2016,BELLEVUE,WA,,,,,TRAVEL,P2016,,ORG,@auto
4354,2016,281721,SB23I33593,N00037006,RL,,,A40,6,03/24/2016,BELLEVUE,WA,,,,,TRAVEL,P2016,,ORG,@auto
4355,2016,281764,SB23I32946,N00037006,RL,,,A40,255,03/24/2016,,MO,,,,,TRAVEL,P2016,,ORG,@auto
4356,2016,281800,SB23I33290,N00037006,RL,,,A40,1781,03/24/2016,,MO,,,,,TRAVEL,P2016,,ORG,@auto
4357,2016,281845,SB23I33629,N00037006,RL,,,A40,32,03/24/2016,,MO,,,,,TRAVEL,P2016,,ORG,@auto
4358,2016,281909,SB23I33757,N00037006,RL,,,A40,1,03/24/2016,,MO,,,,,TRAVEL,P2016,,ORG,@auto
4359,2016,281948,SB23I33472,N00037006,RL,,,A40,236,03/24/2016,MCLEAN,VA,,,,,LODGING,P2016,,ORG,@auto
4360,2016,282112,SB23I33169,N00037006,RL,,,A40,332,03/24/2016,AMARILLO,TX,,,,,AIRFARE,P2016,,ORG,@auto
4362,2016,282167,SB23I31091,N00037006,RL,,,A70,827,03/09/2016,MANCHESTER,NH,,,,,UTILITIES,P2016,,ORG,@auto
4363,2016,282451,SB23I31511,N00037006,RL,,,A40,313,03/03/2016,MCLEAN,VA,,,,,LODGING,P2016,,ORG,@auto
4365,2016,282676,VNTTX9SS2Y5,N00035433,DC,,,A20,476,03/15/2016,,NY,100131941,,,,Software,P2016,,ORG,@new
4368,2016,282815,VNTTX9SS562,N00035433,DC,,,U10,20,01/07/2016,Bangor,ME,044014957,,,,Postage,P2016,,ORG,@new
4370,2016,282974,VQZKWA74WW0,N00029127,DI,,,W10,1386,02/15/2016,Denver,CO,802113609,,,,Payroll,P2016,,IND,@auto
4375,2016,283171,VNH479ZX2A1,N00036097,DI,,,R30,1000,08/18/2015,,NV,891105364,C00577270,H6NV04012,,Contribution,P2016,,CCM,@new
4376,2016,283327,BC231E99EEAE841D88BC,N00028152,RI,,,A40,1847,03/16/2016,,GA,315619705,,,,Lodging,P2016,,ORG,@auto
4379,2016,283622,VN7MRA0SYN6,N00035313,DC,,,U10,9,02/03/2016,Turlock,CA,953808412,,,,Shipping,P2016,,ORG,@new
4380,2016,283695,B71817966C4A441E8BF6,N00026790,DI,,,A70,140,02/05/2016,Elgin,IL,601231488,,,,phone,P2016,,ORG,@new
4383,2016,283999,B54412390A495453CA10,N00012739,RI,,Travelocity,A40,180,01/29/2016,Southlake,TX,760922103,,,,Travel,,,ORG,@auto
4384,2016,284020,B0F08A29C51274C27A10,N00012739,RI,,Uber,A40,9,01/07/2016,,CA,941031355,,,,Travel,,,ORG,@auto
4386,2016,284102,VNH47A0P7D2,N00036097,DI,,,A40,238,11/23/2015,,TX,761552605,,,,Travel,P2015,,ORG,@auto
4399,2016,284766,VN7MW9VKCE6,N00035377,DL,,,A20,7,02/04/2016,Washington,DC,200055006,,,,Software,P2016,,ORG,@new
4404,2016,285218,D709742,N00024870,DI,,,A40,79,01/19/2016,,TX,761552605,,,,Travel,P2016,,ORG,@auto
4406,2016,285301,D712269,N00024870,DI,,,A40,405,03/18/2016,Chicago,IL,606011604,,,,Travel,P2016,,ORG,@auto
4409,2016,285516,VN7KMA106K3,N00036999,DO,,,A70,63,03/29/2016,Dallas,TX,752660720,,,,Utilities,P2016,,ORG,@auto
4412,2016,285657,VSFXE9MYV76,N00039122,DL,,,W10,614,02/05/2016,Washington,DC,200013912,,,,Salary,P2016,,ORG,@auto
4421,2016,286401,VQZFCA7C5F0,N00038450,DO,,,A70,62,03/22/2016,Philadelphia,PA,,,,,Utilities,P2016,,ORG,@auto
4425,2016,286593,SB175363,N00037417,RL,,,A30,18,03/04/2016,SEGUIN,TX,,C00579029,,,MEALS,R2016,Runoff,ORG,@new
4427,2016,286765,B-E-7332,N00034041,RI,,,A40,548,01/21/2016,,TX,761552605,,,,Travel,P2016,,ORG,@auto
4428,2016,286796,B-E-7346,N00034041,RI,,Mailchimp,U20,75,01/27/2016,Atlanta,GA,303185788,,,,Software,P2016,,ORG,@new
4436,2016,287201,BF8C505B5836D4EE6B34,N00006052,RI,,,W10,693,03/30/2016,Amarillo,TX,,,,,Salary,G2016,,IND,@auto
4437,2016,287226,BBBB3CF14803C4FB2A97,N00006052,RI,,Chic-Fil-A,F30,120,01/31/2016,Arlington,VA,222023730,,,,Catering,P2016,,ORG,@new
4452,2016,288203,B58A4D15224844731B42,C00531285,RP,,,F10,3088,02/24/2016,Austin,TX,787142226,,,,Printing,G2016,,ORG,@new
4454,2016,288461,VQZABA6T7S3,N00037291,DC,,,W10,600,03/15/2016,Syracuse,NY,132102061,,,,Payroll,P2016,,IND,@auto
4458,2016,288916,D785258,N00007833,DI,,,A70,342,01/13/2016,Dallas,TX,,,,,Telephone,P2016,,ORG,@new
4459,2016,288942,B9D55D54B8808427A9C4,N00036275,RI,,,A40,72,03/01/2016,Midland,MI,486402392,,,,Mileage,,,IND,@auto
4467,2016,289589,VPE83A10536,N00000528,DO,,Comed,A70,364,03/02/2016,,IL,601976111,,,,Utilities,P2016,,ORG,@auto
4471,2016,289686,B08A72961466448488C6,C00038505,RP,,,W10,1235,03/31/2016,Cornelius,NC,280314516,,,,Payroll,,,ORG,@auto
4473,2016,289708,SB30B308592,C00001305,RP,,,W10,1404,03/31/2016,Arlington,VA,,,,,Salary,,,IND,@auto
4474,2016,289861,SB30B308591,C00001305,RP,,,W10,1360,03/31/2016,Centreville,VA,,,,,Salary,,,IND,@auto
4478,2016,290078,SB30B4686,C00042622,RP,,,W10,2790,03/14/2016,BOSTON,MA,,,,,PAYROLL,,,IND,@auto
4480,2016,290238,BB7E31701EF804908A20,N00001380,RL,,,A40,42,09/11/2015,Houston,TX,770027363,,,,AIRFARE,P2016,,ORG,@auto
4483,2016,290375,BF5B9394E7CB7454CA0A,C00038505,RP,,,W10,2918,03/15/2016,Raleigh,NC,276154740,,,,Payroll,,,ORG,@auto
4493,2016,290714,VQZV9A7CWZ6,C00010033,DP,,,W10,522,03/18/2016,Helena,MT,596015651,,,,Salaries,,,IND,@auto
4494,2016,290852,B7E9A740895BA48ECAEE,N00031502,RI,,,A30,48,05/18/2015,,KS,662122212,,,,food,P2016,,ORG,@new
4500,2016,291146,30b-03-03321-05015,C00179408,DP,,,W10,1930,03/31/2016,Brewer,ME,,,,,Payroll,,,IND,@auto
4506,2016,291387,SB30B308612,C00001305,RP,,,W10,1241,03/31/2016,Mechanicsville,VA,,,,,Salary,,,IND,@auto
4509,2016,291453,VPE83A13ZY5,N00000528,DO,,,A40,367,03/01/2016,Vidalia,GA,,,,,Lodging,P2016,,ORG,@auto
4511,2016,291569,B723250C62CE74C5699F,C00044990,RP,,,W10,8103,03/16/2016,Vermillion,SD,570693221,,,,Payroll,,,IND,@auto
4515,2016,291891,SB23I3922,N00037008,RL,,,W10,2261,02/29/2016,MANCHESTER,NH,,,,,PAYROLL,P2016,,IND,@auto
4516,2016,291915,SB23I3816,N00037008,RL,,,W10,3257,02/12/2016,MORRISTOWN,NJ,,,,,PAYROLL,P2016,,IND,@auto
4519,2016,292076,SB23I3645,N00037008,RL,,,A30,462,02/05/2016,MOONACHIE,NJ,,,,,FOOD/BEVERAGE,P2016,,ORG,@new
4528,2016,292339,SB21-0047134,C00075820,RP,,,W10,1671,03/15/2016,WASHINGTON,DC,,,,,PAYROLL,,,IND,@auto
4529,2016,292377,SB21-0047170,C00075820,RP,,,W10,2216,03/15/2016,WASHINGTON,DC,,,,,PAYROLL,,,IND,@auto
4531,2016,292399,SB21-0047337,C00075820,RP,,,W10,2524,03/31/2016,WASHINGTON,DC,,,,,PAYROLL,,,IND,@auto
4533,2016,292506,SB21-0047388,C00075820,RP,,,W10,1996,03/31/2016,WASHINGTON,DC,,,,,PAYROLL,,,IND,@auto
4544,2016,293230,21b-01-06581-08832,C00162578,DP,,,A60,265,03/10/2016,Charleston,WV,,,,,accounting,,,ORG,@auto
4545,2016,293348,60407E235544,C00099259,RP,,,W10,1933,03/30/2016,Tallahassee,FL,,,,,FEA:payroll,,,IND,@new
4546,2016,293352,60407E235546,C00099259,RP,,,W10,330,03/30/2016,Tampa,FL,,,,,FEA:payroll,,,IND,@new
4547,2016,293358,60407E235550,C00099259,RP,,,W10,1583,03/30/2016,,AL,,,,,FEA:payroll,,,IND,@new
4552,2016,293577,SB21B-646,C00571133,DP,,,W10,1752,03/15/2016,Philadelphia,PA,,,,,Salaries,,,IND,@auto
4556,2016,293912,SB21B-289159-50000,C00010603,DP,,,A40,33,03/01/2016,Arlington,VA,,,,,Travel,,,ORG,@auto
4557,2016,294063,SB21B-289297,C00010603,DP,,,W10,1252,03/15/2016,Washington,DC,,,,,Salaries,,,IND,@auto
4558,2016,294078,SB21B-289312,C00010603,DP,,,W10,3464,03/15/2016,Washington,DC,,,,,Salaries,,,IND,@auto
4565,2016,294492,SB21B-290436-480000,C00010603,DP,,,A40,45,03/22/2016,,NY,,,,,Travel,,,ORG,@auto
4566,2016,294506,SB21B-290436-620000,C00010603,DP,,,A40,31,03/22/2016,Washington,DC,,,,,Travel,,,ORG,@auto
4567,2016,294542,SB21B-289655,C00010603,DP,,,F10,185,03/24/2016,Beaverton,OR,970052977,,,,Telemarketing,,,ORG,@new
4568,2016,294566,SB21B-289905,C00010603,DP,,,F10,215,03/29/2016,Beaverton,OR,970052977,,,,Telemarketing,,,ORG,@new
4569,2016,294567,SB21B-289906,C00010603,DP,,,F10,240,03/29/2016,Beaverton,OR,970052977,,,,Telemarketing,,,ORG,@new
4570,2016,294568,SB21B-289907,C00010603,DP,,,F10,282,03/29/2016,Beaverton,OR,970052977,,,,Telemarketing,,,ORG,@new
4571,2016,294662,SB21B-289710,C00010603,DP,,,W10,177,03/31/2016,,VA,,,,,Salaries,,,IND,@auto
4572,2016,294668,SB21B-289716,C00010603,DP,,,W10,1485,03/31/2016,,VA,,,,,Salaries,,,IND,@auto
4573,2016,294775,SB21B-289823,C00010603,DP,,,W10,1945,03/31/2016,Washington,DC,,,,,Salaries,,,IND,@auto
