,Unnamed: 0,Cycle,ID,TransID,CRPFilerid,Recipcode,Pacshort,CRPRecipname,Expcode,Amount,Date,City,State,Zip,CmteID_EF,Candid,Type,Descrip,PG,ElecOther,EntType,Source
0,2,2016,1322,BEEDE083F4B8D4A3EBFB,C00136457,RP,,,A40,30,01/25/2015,Concord,NH,033014844,,,,mileag,,,IND,@auto
1,18,2016,12545,VN7K39TS8J6,N00033997,DI,,,A40,214,02/09/2015,,TX,761552664,,,,travel,P2016,,ORG,@auto
2,19,2016,12941,SB174578,N00000738,RN,,Integram,F00,516,03/06/2015,Dulles,VA,,,,,fundrais,P2014,,ORG,@new
3,23,2016,13998,BD0E89C64868F4177B2E,N00026171,RI,,,W10,897,02/01/2015,Orefield,PA,180699513,,,,payrol,G2016,,ORG,@auto
4,25,2016,15385,D352849,N00000939,DI,,,A70,414,02/04/2015,,NY,100361914,,,,storag,P2016,,ORG,@new
5,31,2016,16843,D445920,N00000078,DI,,,R20,150,12/14/2015,Astoria,NY,,,,,donat,P2016,,ORG,@new
6,34,2016,19337,VQZKSA6JQ11,N00038433,DC,,,U10,1000,02/09/2016,Helena,MT,596011006,,,,postag,P2016,,ORG,@auto
7,35,2016,20124,VNTPB9SMNF7,N00001821,DI,,,M00,300,02/03/2016,,MD,206533802,,,,advertis,P2016,,ORG,@new
8,36,2016,20877,B66D3423686C3472892F,N00004961,RI,,,W10,5948,02/29/2016,Collinsville,IL,622340661,,,,payrol,P2016,,IND,@auto
9,38,2016,22237,SB17-EX2457,N00031513,RL,,,A40,914,03/17/2015,Austin,TX,,,,,lodg,P2016,,ORG,@auto
10,41,2016,23756,VN7EC9YFAP1,N00008046,DI,,,R00,100,02/18/2015,Oakland,CA,946211419,,,,donat,P2016,,ORG,@new
11,42,2016,23890,BD386B3277FD747E8A13,N00035380,RI,,,A40,1066,02/12/2015,Atlanta,GA,303541989,,,,travel,P2016,,ORG,@auto
12,44,2016,25463,50323E8416,N00004719,RI,,Comed,A70,88,01/30/2015,,IL,,,,,util,,,ORG,@auto
13,53,2016,32466,D428759,N00002577,DI,,,A40,22,03/24/2015,Atlanta,GA,,,,,travel/lodg,P2016,,ORG,@auto
14,58,2016,34550,50309E6493,N00026163,RI,,,W10,461,03/09/2015,Sharpsburg,GA,302770458,,,,salari,,,IND,@auto
15,59,2016,34850,B-E-11955,N00031104,RI,,,A70,30,02/09/2015,,IL,601742445,,,,telephon,,,ORG,@new
16,62,2016,38645,D561048,N00033390,DI,,,A30,183,02/03/2015,Washington,DC,200034024,C00000935,,,postag,P2016,,PTY,ManAG
17,65,2016,40300,B-S-5436,N00028152,RI,,,W10,1573,02/26/2015,,MD,208155174,,,,payrol,P2016,,IND,@auto
18,66,2016,40314,B-S-5474,N00028152,RI,,,A40,1847,03/05/2015,,CA,913627300,,,,lodg,P2016,,ORG,@auto
19,68,2016,40768,B69CC179060704BEF959,N00026041,RI,,,A70,75,02/01/2015,Midland,TX,797014809,,,,rent,P2016,,ORG,@auto
20,71,2016,42898,EDTB17EXPB12288,N00033367,RI,,,U10,18,03/03/2015,Fresno,CA,,,,,copi,P2016,,ORG,@new
21,73,2016,43455,D568570,N00006023,DI,,,W10,202,01/12/2015,Austin,TX,,,,,tax,P2016,,ORG,@new
22,75,2016,43925,D570693,N00029070,DI,,,W10,2827,01/30/2015,,CT,,,,,payrol,O2016,Convention,IND,@auto
23,81,2016,47329,VPEBZ9TRJP2,N00009724,DI,,,A40,20,01/29/2015,,RI,028183615,,,,fuel,P2016,,ORG,@new
24,87,2016,48999,21b-01-06128-08057,C00162578,DP,,,W10,34,03/25/2015,Roswell,GA,,,,,healthcar,,,ORG,@new
25,89,2016,50507,D666562,C00019331,DP,,,U10,250,03/31/2015,Madison,WI,537010010,,,,postag,,,ORG,@auto
26,90,2016,51319,2015M02L21PA00346,C00003418,RP,,,W10,2240,01/30/2015,WASHINGTON,DC,,,,,payrol,,,IND,@auto
27,92,2016,52156,D750919,C00010033,DP,,,W10,1626,02/20/2015,Bozeman,MT,,,,,salari,P2016,,IND,@auto
28,98,2016,56243,SB21-0044731,C00075820,RP,,,F30,2221,02/04/2015,WASHINGTON,DC,,,,,food/beverag,,,ORG,@new2
29,99,2016,56324,SB21-0042188,C00075820,RP,,,W10,633,02/13/2015,WASHINGTON,DC,,,,,payrol,,,IND,@auto
30,100,2016,57373,2015M03L21PA00353,C00003418,RP,,,W10,2337,02/27/2015,WASHINGTON,DC,,,,,payrol,,,IND,@auto
31,101,2016,58572,D30443,C00010603,DP,,,N10,293,02/13/2015,Wheatfield,IN,,,,,chargeback,,,IND,@new
32,110,2016,62420,SB21B-281539,C00010603,DP,,,W10,1420,04/30/2015,Washington,DC,,,,,salari,,,IND,@auto
33,111,2016,63186,SB21-0042873,C00075820,RP,,,W10,1234,04/15/2015,WASHINGTON,DC,,,,,payrol,,,IND,@auto
34,112,2016,63328,SB21-0043120,C00075820,RP,,,W10,5063,04/30/2015,WASHINGTON,DC,,,,,payrol,,,IND,@auto
35,120,2016,70281,VPE7K9YZVK7,N00000751,DI,,,A70,875,04/27/2015,Wayne,NJ,074703568,,,,rent,P2016,,IND,@auto
36,127,2016,77223,BF72504B0B7BE4419BFD,N00026041,RI,,,U10,10,08/14/2015,Washington,DC,200064502,,,,postag,P2016,,ORG,@auto
37,128,2016,77913,B5C074A073BF047B8AA1,N00030968,RI,,,A40,1702,05/12/2015,Dallas,TX,752197601,,,,airfar,,,ORG,@auto
38,132,2016,79248,SB1766636,N00028249,DL,,,A40,970,03/26/2015,Chicago,IL,,,,,airfar,P2016,,ORG,@auto
39,140,2016,89260,SB17111873,N00013770,RI,,,A70,90,01/11/2016,HOLLIDAYSBURG,PA,,,,,telephon,,,ORG,@new
40,142,2016,90388,VPEGGA1JXR2,N00037036,DO,,,A70,48,03/28/2016,Dallas,TX,752024206,,,,telephon,,,ORG,@new
41,143,2016,90399,VPEGGA1M3C8,N00037036,DO,,,W10,527,04/04/2016,,MD,209106292,,,,salari,,,IND,@auto
42,146,2016,91438,PDTB163EXPB2501,N00033373,DI,,Courtyard,A40,1852,04/13/2015,Austin,TX,,,,,lodg,P2016,,ORG,@auto
43,147,2016,92099,VQZ2TA73511,N00037281,DL,,,U10,58,02/29/2016,,MD,208257554,,,,postag,P2016,,ORG,@auto
44,150,2016,95565,VQZFQA64Z32,N00029841,DL,Lessig2016.us,,N10,199,11/05/2015,Brookline,MA,024463909,,,,refund,G2016,,IND,@new
45,152,2016,98438,D20304,N00000019,DO,,,W10,1478,10/15/2015,,NY,101855256,,,,payrol,P2016,,IND,@auto
46,153,2016,98675,D43655,N00000019,DO,,,A70,60,11/30/2015,,NY,101855256,,,,phone,P2016,,IND,@new
47,155,2016,102252,SB23CCUV102084,N00036973,RL,,,A40,40,11/06/2015,ATLANTA,GA,,,,,travel,,,ORG,@auto
48,157,2016,105252,VNTP89SE6E4,N00035238,DN,,,A20,900,12/16/2015,Washington,DC,200055006,,,,databas,P2016,,ORG,@new
49,163,2016,112659,D126144,N00000019,DO,,,A40,35,11/25/2015,,NY,100364603,,,,travel,P2016,,ORG,@auto
50,165,2016,115102,D91262,N00000019,DO,,,W10,1115,01/15/2016,,NY,101855256,,,,payrol,P2016,,IND,@auto
51,173,2016,118509,D770387,N00029400,DI,,,A40,566,10/23/2015,Dallas,TX,,,,,travel,P2016,,ORG,@auto
52,178,2016,121570,SB1712449,N00033932,RI,,,F00,11167,12/16/2015,Farmington,UT,,C00506931,,,fundrais,C2016,Convention,ORG,@new
53,179,2016,123363,SBCCUV459505,N00033085,RI,,,U10,22,10/07/2015,DALLAS,TX,,,,,postag,,,ORG,@auto
54,180,2016,124418,SBCCUV4510247,N00033085,RI,,Amtrak,A40,278,12/09/2015,WASHINGTON,DC,,,,,travel,,,ORG,@auto
55,181,2016,126352,SB23CCUV101036,N00036973,RL,,,A40,200,10/06/2015,PHOENIX,AZ,,,,,travel,,,ORG,@auto
56,183,2016,127691,SB23111801,N00031348,RL,,,A40,687,10/20/2015,ATLANTA,GA,,,,,travel,,,ORG,@auto
57,188,2016,129758,D87088,N00000019,DO,,,A40,195,10/02/2015,,TX,761552605,,,,travel,P2016,,ORG,@auto
58,189,2016,129831,D84128,N00000019,DO,,,A40,34,09/19/2015,,NY,100011107,,,,travel,P2016,,ORG,@auto
59,192,2016,133350,D21588,N00000019,DO,,,A70,60,10/30/2015,,NY,101855256,,,,phone,P2016,,IND,@new
60,193,2016,133720,D69497,N00000019,DO,,,W10,1917,12/31/2015,,NY,101855256,,,,payrol,P2016,,IND,@auto
61,194,2016,134029,D68956,N00000019,DO,,,W10,1039,12/31/2015,,NY,101855256,,,,payrol,P2016,,IND,@auto
62,195,2016,134462,D43266,N00000019,DO,,,W10,1126,11/30/2015,,NY,101855256,,,,payrol,P2016,,IND,@auto
63,196,2016,135330,D21475,N00000019,DO,,,W10,2653,10/30/2015,,NY,101855256,,,,payrol,P2016,,IND,@auto
64,197,2016,136845,D19952,N00000019,DO,,,W10,1125,10/15/2015,,NY,101855256,,,,payrol,P2016,,IND,@auto
65,200,2016,137442,D21481,N00000019,DO,,,W10,2415,10/30/2015,,NY,101855256,,,,payrol,P2016,,IND,@auto
66,202,2016,137951,D79120,N00000019,DO,,Rmi,U10,299,12/03/2015,,NY,100131408,,,,print,P2016,,ORG,@new
67,203,2016,138354,D21350,N00000019,DO,,,A70,60,10/30/2015,,CA,904011845,,,,phone,P2016,,IND,@new
68,210,2016,142921,SB23I26207,N00037006,RL,,,F30,677,01/08/2016,WASHINGTON,DC,,,,,cater,P2016,,ORG,@new
69,211,2016,143437,SB23I24671,N00037006,RL,,,W10,1161,01/15/2016,MIAMI,FL,,,,,payrol,P2016,,IND,@auto
70,217,2016,149185,SB21B-025676-1,C00003418,RP,,,W10,1282,02/29/2016,WASHINGTON,DC,,,,,payrol,,,IND,@auto
71,223,2016,153823,VQZC4A7AVZ7,N00037524,DC,,,U10,1,03/11/2016,Brighton,MI,481162380,,,,postag,P2016,,ORG,@auto
72,229,2016,157277,D535658,N00034547,DI,,,W10,731,02/29/2016,Washington,DC,200025800,,,,payrol,P2016,,IND,@auto
73,239,2016,162623,SB177464,N00033731,RO,,,A40,99,03/09/2016,Flagstaff,AZ,,,,,travel,P2016,,ORG,@auto
74,240,2016,163843,VPEE2A1NDC3,N00036944,DC,,,F30,262,02/08/2016,Bethesda,MD,208161501,,,,cater,P2016,,ORG,@new
75,245,2016,167268,VPEEG9ZDXT0,N00035215,DI,,,A40,231,08/10/2015,Birmingham,AL,352031103,,,,lodg,P2016,,ORG,@auto
76,246,2016,167366,B3757B780579C4FEF94C,N00029273,RI,,,W10,1785,09/03/2015,Washington,DC,200025607,,,,tax,,,ORG,@new
77,252,2016,171960,SBINDUV9062,N00009975,RI,,,A40,37,07/30/2015,MCLEAN,VA,,,,,travel,,,ORG,@auto
78,258,2016,178338,VPE839ZCSM0,N00000528,DO,,,A40,257,07/23/2015,Portsmouth,NH,038015030,,,,mileag,P2016,,IND,@auto
79,259,2016,178562,VPE839ZYTK7,N00000528,DO,,,W10,1120,09/30/2015,,CA,,,,,payrol,P2016,,IND,@auto
80,261,2016,179301,SB23CCUV10462,N00009975,RI,,,A40,61,09/01/2015,PHOENIX,AZ,,,,,travel,,,ORG,@auto
81,264,2016,180967,VPE839ZTNK3,N00000528,DO,,,W10,375,09/15/2015,Shelburne,VT,054827618,,,,payrol,P2016,,IND,@auto
82,265,2016,181183,VPE839ZEZX1,N00000528,DO,,,W10,3701,08/14/2015,,CA,902101428,,,,payrol,P2016,,IND,@auto
83,266,2016,181422,VPE839ZG9R1,N00000528,DO,,,W10,683,07/30/2015,Concord,MA,017421616,,,,payrol,P2016,,IND,@auto
84,272,2016,184538,SB23CCUV92054,N00036973,RL,,,A40,290,09/04/2015,,IA,,,,,travel,,,ORG,@auto
85,274,2016,185127,SB23CCUV91852,N00036973,RL,,,A40,249,09/04/2015,ATLANTA,GA,,,,,travel,,,ORG,@auto
86,275,2016,185857,D679989,N00024870,DI,,,A40,610,07/02/2015,,CA,,,,,lodg,P2016,,ORG,@auto
87,276,2016,185903,D574457,N00034254,DI,,,W10,1741,07/01/2015,,CA,913625384,,,,payrol,P2016,,IND,@auto
88,284,2016,188743,SB838,N00033486,RL,RickPerry.org,,A40,289,06/05/2015,,NY,,,,,lodg,P2016,,ORG,@auto
89,285,2016,188927,SB587,N00033486,RL,RickPerry.org,,A40,179,08/11/2015,,IA,,,,,lodg,P2016,,ORG,@auto
90,287,2016,190498,B2C168817DD044677BB8,N00036977,RN,MarkForAmerica,,W10,421,08/11/2015,,IA,503112117,,,,salari,P2016,,IND,@auto
91,297,2016,194669,B63087A4462EC403DAF5,N00026043,RI,,,W10,1278,09/08/2015,Lubbock,TX,794534175,,,,salari,P2016,,IND,@auto
92,298,2016,196085,SB23100451,N00031348,RL,,,A40,1045,08/28/2015,ALEXANDRIA,VA,,,,,park,,,ORG,@new
93,302,2016,197258,BBCE5D25775F14652BE1,N00030962,RI,,,W10,966,09/01/2015,,VA,234533028,,,,payrol,P2016,,IND,@auto
94,304,2016,198154,VN7JN9V7NE4,N00035688,DI,,,U10,210,09/15/2015,Tallahassee,FL,323167701,,,,postag,P2016,,ORG,@new
95,306,2016,198552,SB796,N00033486,RL,RickPerry.org,,A40,263,06/25/2015,Pasadena,CA,,,,,lodg,P2016,,ORG,@auto
96,312,2016,203687,VNGZA9V22Q5,N00024978,DI,,,F30,380,06/08/2015,Vienna,VA,221804221,,,,fundraising/cat,P2016,,ORG,@new
97,317,2016,206713,BDA7121EA508C4109852,N00033832,RI,,Distad'S-Bp,A40,43,04/27/2015,Washington,DC,,,,,travel,P2016,,ORG,@auto
98,323,2016,209902,0093195-0001,N00005656,RI,,Brookshire'S,A40,62,05/12/2015,Ennis,TX,,,,,ga,P2016,,ORG,@new
